num,x,y,z,rotation,offset_x,offset_y,offset_z,waypoint_before,waypoint_after
1,  0.0,   0.0,   1.76,  0.0,     0.0, -0.9, 0.0,    3.0, 1.0
2,  5.0,   -1.2,  1.76,  0.0,     0.0, 0.9,  0.0,  3.0, 1.0
3,  10.0,  0.0,   1.76,  0.0,     0.0, -0.9, 0.0,    3.0, 1.0
4,  15.0,  -1.2,  1.76,  0.0,     0.0, 0.9,  0.0,  3.0, 1.0
5,  19.0,  -6.2,  2.76,  -90.0,   0.0, 0.0,  0.0,   4.0, 1.0
6,  16.0,  -10.2, 2.76,  180.0,   0.0, 0.0,  0.0,   3.5, 1.0
7,  12.0,  -6.2,  2.27,  180.0,   0.0, 0.0,  0.0,   4.0, 1.0
8,  8.0,   -10.2, 2.27,  180.0,   0.0, 0.0,  0.0,   4.0, 1.0
9,  4.0,   -6.0,  2.27,  180.0,   0.0, 0.0,  0.0,   4.0, 1.0
10, 0.5,   -7.7,  2.27,  -90.0,   0.0, 0.0,  0.0,   3.0, 0.0
11, -0.23, -9.46, 2.77,  -135.0,  0.0, 0.0,  0.0,   0.0, 0.0
12, -2.0,  -10.2, 3.25,  180.0,   0.0, 0.0,  0.0,   0.0, 0.0
13, -6.5,  -5.2,  2.1,  90.0,   0.0, 0.0,  0.0,    4.0, 2.0
